"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"v[71]",1.78614687896235,2.32047584765508,2.89900849481796,2.335633020369,0.285799010563914,NA,0.00792442994678894,2.8,1301,0.127752069508706,1.00186570632266
"v[72]",0.200037676867047,0.827352730770745,1.65018812653887,0.883629298762655,0.395558821849367,NA,0.00576996279017723,1.5,4700,-0.00971056546239554,1.00026944346729
"v[73]",1.1365159044322,1.60165257224015,2.08466759613915,1.61501947263308,0.245977690635616,NA,0.00458589142255165,1.9,2877,0.0635924221248441,1.00125848606377
"v[74]",1.58481037962985,2.08604831213005,2.62246521903269,2.09316994762247,0.269718748770481,NA,0.00712314543058012,2.6,1434,0.0993848433984296,1.00197901330034
"v[75]",1.24895962043537,1.70802862909319,2.25351689669922,1.72323101997547,0.263630768766254,NA,0.0057455840492725,2.2,2105,0.0636018970372961,1.00076805736227
"v[76]",0.464106273483281,0.744473565562594,1.07688257347229,0.75801880500011,0.159008385501679,NA,0.00272847161433688,1.7,3396,0.0283060236636536,1.00062334032564
"v[77]",0.515231078259085,0.812816268840248,1.1673429859513,0.82298546295338,0.166121176236972,NA,0.00306811530421355,1.8,2932,0.0406972308142076,1.00029023259964
"v[78]",0.621318127746702,0.94055492584489,1.32049453732764,0.952830650453988,0.180984010878422,NA,0.00320941343357869,1.8,3180,0.0401715504957344,1.00078426925508
"v[79]",0.0846189738748848,0.278226266621597,0.536405953613335,0.294090274762159,0.120718876464286,NA,0.00173580851234369,1.4,4837,0.00980533473210353,1.00011632131863
"v[80]",0.154552448745227,0.336206851197339,0.565972507032529,0.348290779176817,0.109926079359082,NA,0.00168280960301951,1.5,4267,0.0151216741564222,1.0001655950605
"v[81]",0.118977394761573,0.265734395820281,0.452027768602029,0.275673579498155,0.0886606550357953,NA,0.00146073782864448,1.6,3684,0.0364089962779407,1.00127569258759
"v[82]",0.518024726200567,0.804298551211761,1.14375737206633,0.816110931123474,0.161738559719748,NA,0.002719682172579,1.7,3537,0.0383618837651615,1.00030620245379
"v[83]",0.634552321235301,0.962171560788369,1.32375639908498,0.973238645058459,0.179429411380827,NA,0.00325273913204207,1.8,3043,0.0486517280710888,0.99994964762771
"v[84]",0.683281567851266,1.02123363971185,1.40336950019398,1.03189549554056,0.184597537383301,NA,0.00333928494454049,1.8,3056,0.0491584425198925,1.00125687208512
"v[85]",0.0707062196434961,0.182582857706685,0.344131356966467,0.191719252246184,0.0724477515518757,NA,0.00101440974640321,1.4,5101,0.00138298209751058,1.0018079073619
"v[86]",0.658562723551351,1.41351524178392,2.21980845801998,1.45342747912021,0.412840109928454,NA,0.00681236647787136,1.7,3673,0.0229561591845413,1.00049148761878
"v[87]",1.33652831732391,1.79900303257987,2.34625765571302,1.81474608045753,0.259716716061345,NA,0.00655918224148127,2.5,1568,0.0848180935102135,1.0013794081573
"v[88]",1.05985300248616,1.89251801143931,2.87022643340619,1.93673742512117,0.475296984612339,NA,0.00803312565628514,1.7,3501,0.0330918670962386,1.00004580598419
"v[89]",0.430006317880821,0.67978297942048,0.977208199542399,0.691112094005108,0.143011288820647,NA,0.00258557517335603,1.8,3059,0.0323967953299679,1.0009940730201
"v[90]",0.974809932545515,1.69466850157357,2.49948119705443,1.72512023557492,0.395889967462212,NA,0.00612601586922937,1.5,4176,0.0164485517942051,1.00021730843626
"v[91]",0.447292784848819,0.715283918619586,1.04450523090748,0.726927102167653,0.154524092238962,NA,0.00281144949438827,1.8,3021,0.0468397313858263,1.00002951682185
"v[92]",0.649721230547896,0.957856953512285,1.33659525471669,0.970019106758429,0.177786159840162,NA,0.00297039268986253,1.7,3582,0.028028210105905,1.00010950935909
"v[93]",1.07930635746849,1.48193880418059,1.9707912000865,1.49505720919529,0.230714757290897,NA,0.00426962158810676,1.9,2920,0.047833766631324,1.00048648121637
"v[94]",0.103366930609745,0.252769486809986,0.432480147767248,0.262031435154462,0.0889826185074719,NA,0.00127258285792024,1.4,4889,0.0194577890879121,1.00035698336023
"v[95]",0.66784884200942,1.28387025278871,1.949643675805,1.31361216206628,0.332294066825794,NA,0.00544313542899796,1.6,3727,0.0397943566649453,1.00148955560504
"v[96]",0.7165894255937,1.0354976659355,1.42011741574089,1.04773778158265,0.181370335143288,NA,0.00364523701069366,2,2476,0.0343440326928826,1.00066860190173
"v[97]",0.309820153823915,0.539048143254404,0.800453042200409,0.550864239689014,0.128603656309054,NA,0.00231792710356624,1.8,3078,0.0241955695745165,1.00070505187467
"v[98]",0.375220063996095,0.760101871471109,1.26042581731104,0.784780129881459,0.231169823847291,NA,0.00329880907883275,1.4,4911,0.011960340776094,1.00042925385534
"v[99]",0.633572879827876,0.949298606017372,1.30685349581345,0.960459654651481,0.17494601401953,NA,0.00321681693208581,1.8,2958,0.0386694183083473,1.00206009670812
"v[100]",0.792276322992681,1.14015090384835,1.54085441173818,1.15284925606187,0.194919901504941,NA,0.0034253222744258,1.8,3238,0.0485634016886745,1.00178436327182
"v[101]",0.66768120387984,0.990600843588309,1.40600585045563,1.00727243348223,0.192460706114501,NA,0.00387739409437435,2,2464,0.0681815703521832,1.00097667424157
"v[102]",0.902933238984769,1.28955726074219,1.74177520758212,1.30348078978928,0.216598928503543,NA,0.0044433909839748,2.1,2376,0.0654530529445682,1.00108400994867
"v[103]",0.896755935615971,1.29088350523378,1.72314717657795,1.30243923062093,0.212472716663436,NA,0.00382486885348286,1.8,3086,0.0486589101803915,1.00070723602315
"v[104]",0.878783877551787,1.24201536906881,1.64991099003406,1.25445429571308,0.202345188543941,NA,0.00434352320869236,2.1,2170,0.075775983113146,1.00372227263601
"v[105]",0.207080517704133,0.393884515651884,0.631398990879809,0.405313700966732,0.110863286262157,NA,0.00161932537944117,1.5,4687,0.0166321126566622,1.00070001051679
"v[106]",0.517879909006545,0.813487798471993,1.15711768459012,0.825616319386514,0.167044417144975,NA,0.00273994506452533,1.6,3717,0.0168686063660479,1.00139603488705
"v[107]",0.678869816375301,0.990304697796055,1.3611619872296,1.00280715537439,0.175733306572084,NA,0.00327629073153943,1.9,2877,0.0459246369468353,1.0002514245715
"v[108]",0.246650415589991,0.464592122592104,0.721303050099318,0.47410683221302,0.124693852764092,NA,0.00181528474078854,1.5,4718,0.0097412273523709,1.00057417690262
"v[109]",0.907937563653866,1.26619965821098,1.67900263566988,1.27535150064297,0.19979553125144,NA,0.0039307540275016,2,2584,0.0590387600001029,1.00000322369681
"v[110]",0.54294136808777,0.822137646166593,1.16042385356471,0.833586761905505,0.157716686086613,NA,0.00311470099908987,2,2564,0.0624085696376109,1.00088052742261
"v[111]",0.892512564611541,1.33947559097699,1.87686072261358,1.35962838117577,0.254017830264472,NA,0.00469481036759599,1.8,2927,0.0499485972914755,1.00098991585145
"v[112]",0.249383107489695,0.462571235778909,0.700341250191604,0.47258727528483,0.118150034767735,NA,0.00201422040836206,1.7,3441,0.0399678060392379,1.00004965840564
"v[113]",0.471080928839575,0.759396569108641,1.10094101179113,0.772417392981369,0.163656134656428,NA,0.00269286736598238,1.6,3693,0.00928394192227656,1.00035920024671
"v[114]",1.49385133844822,1.9712287615371,2.47912083219753,1.9826839766958,0.254041749287908,NA,0.00642314271049059,2.5,1564,0.102838406921066,1.00082166537765
"v[115]",0.919688375812886,1.48981373232516,2.16648556942314,1.51722318674446,0.326518011848837,NA,0.00574308262161051,1.8,3232,0.0415114009650382,1.00167206757826
"v[116]",1.6756073833039,2.21522492258002,2.78913364114155,2.22913854560559,0.288372273314182,NA,0.00721887658201797,2.5,1596,0.0639611277412099,1.00157931076203
"v[117]",0.0613076145761355,0.308280486277038,0.687642049843534,0.33960799389102,0.173756817494325,NA,0.00281443711911667,1.6,3812,-0.0113432789594815,0.999996142059891
"v[118]",0.000980161516165839,0.0504965079645232,0.144004794014654,0.0604009032316892,0.0440549837368574,NA,0.000792548654309639,1.8,3090,0.0188452293147855,1.00025289959208
"v[119]",0.0969737645985428,0.375604030694567,0.769509846811351,0.402797018563597,0.182739913763657,NA,0.00287280595007283,1.6,4046,0.0178699483722218,1.00069561859274
"v[120]",1.93233814648239,2.55577436821185,3.20424335100287,2.56978183271868,0.329333178932902,NA,0.00811941469373584,2.5,1645,0.0865544082644536,0.999902549854179
"v[121]",0.000261693225562804,0.0464977324202249,0.133058565124686,0.0558563059637854,0.0408607948767384,NA,0.000764463030424202,1.9,2857,0.00791255066818549,1.00042360648466
"v[122]",0.279834479994857,0.475810744392101,0.721889287286701,0.484596496642669,0.113668858201836,NA,0.00187947427813539,1.7,3658,0.0364446755561752,1.00055920764719
"v[123]",0.903617038523821,1.27510081610581,1.68513198019656,1.28606292150014,0.202213226866529,NA,0.00424806274240382,2.1,2266,0.0574930383508636,1.00288429949634
"v[124]",1.29733868099241,1.76717534948933,2.26637584729908,1.77873506103769,0.249199500649948,NA,0.00612433783059788,2.5,1656,0.0934022165722317,1.00012368691444
"v[125]",0.0947945962601951,0.240948288508651,0.41467015428746,0.250644943283038,0.0851337768192188,NA,0.00121848231948264,1.4,4882,0.0113086213462615,1.00081765438691
"v[126]",0.193748407269345,0.519792444120563,0.990065950946307,0.549139253659568,0.213497345638623,NA,0.00318502149009653,1.5,4493,0.0111657973692699,1.00026615315074
"v[127]",0.141811905203728,0.307317418646149,0.515307330167825,0.317253250828088,0.0974398439084295,NA,0.00145723607111921,1.5,4471,0.0120557270664672,1.00114492803953
"v[128]",0.930021373259751,1.44737249727729,1.98252154164891,1.46495272109952,0.26915843239938,NA,0.00502154957614131,1.9,2873,0.0434675188876396,1.00058637413292
"v[129]",0.139039757745799,0.434899472814892,0.823259727011624,0.461429508395177,0.186659852333112,NA,0.00266435713838954,1.4,4908,0.012706659219811,1.00203548403139
"v[130]",1.45086604995944,1.93347769334923,2.44511982022082,1.95010115536987,0.255838080095946,NA,0.00686952869100985,2.7,1387,0.126091912167641,1.00157111111968
"v[131]",1.57110895364379,2.05153859549533,2.54529207898593,2.06370645648046,0.254039949143866,NA,0.00680980983247412,2.7,1392,0.112789906148582,1.00211543810315
"v[132]",0.745350342353563,1.1280087493994,1.53942637932603,1.14333361292775,0.208509646635245,NA,0.00365640825814871,1.8,3252,0.0380095515753111,1.00101307690902
"v[133]",0.505153031872414,0.777105184853425,1.09924688277704,0.788626959924197,0.154436634215361,NA,0.00281258510836005,1.8,3015,0.040965423549501,1.00014577323656
"v[134]",0.0972125969591019,0.329791727219632,0.629249703659897,0.35052305284885,0.144777747988788,NA,0.00199905455704451,1.4,5245,-0.0204236726189197,0.999957058796334
"v[135]",0.067829755300505,0.189416399687705,0.352640228499181,0.200670086944404,0.0773823110555927,NA,0.00120687901235299,1.6,4111,0.0378105862883698,1.00117507271632
"v[136]",0.334264724008304,0.568642993445341,0.861044559111185,0.58054612093814,0.135875614582599,NA,0.00210628435374363,1.6,4161,0.0160238350983002,1.0008051338636
"v[137]",3.03897853487667,3.71130609277947,4.47283730411256,3.72798459471945,0.370345080052601,NA,0.0107085001048876,2.9,1196,0.147275528909942,1.00254770536996
"v[138]",0.438180799497601,0.903924589308435,1.482022255225,0.934048315796488,0.275173802802041,NA,0.00405666374233079,1.5,4601,0.00795126979520603,1.00008243549816
"v[139]",1.55275660902442,2.06249739751832,2.62364619253304,2.07173030799088,0.277015536678478,NA,0.00695854752791049,2.5,1585,0.100666173750234,1.00069126596968
"v[140]",0.746595165344892,1.1585673766669,1.60496574765456,1.17622119911265,0.219897932286299,NA,0.00396380454620207,1.8,3078,0.0359680262715062,1.00112740988151
"v[141]",0.591807099403337,0.899785296802844,1.25946047406195,0.913254519144265,0.173389997215467,NA,0.00305417122674794,1.8,3223,0.038501701162341,1.00054408527505
"v[142]",0.177739110004419,0.388338583863767,0.645268755596763,0.400112814358607,0.122750326023602,NA,0.00185555498717152,1.5,4376,-0.00214089143276078,1.0012608164728
"v[143]",1.26261629125798,1.74003745682292,2.25970278353647,1.75105005588282,0.255324729169085,NA,0.00525135266515475,2.1,2364,0.0697827918321611,1.00203878184199
"v[144]",1.11893964773922,1.56814004047225,2.04608747463754,1.58199926130525,0.23611407892872,NA,0.00485568018027084,2.1,2365,0.0534911909010636,1.00064243135973
"v[145]",0.633824004731436,1.28921807702091,2.11950136029291,1.33156981046169,0.389596177713058,NA,0.00562160278451552,1.4,4803,0.0202867141143727,1.00026487962978
"v[146]",0.207059611253856,0.396840364705328,0.633033053993903,0.407283255968037,0.112744056560186,NA,0.00176877816788318,1.6,4063,0.0288789751977228,1.00062988249798
"v[147]",0.340705042053806,0.569702405262778,0.855642101890269,0.58243118642321,0.133455333247051,NA,0.00210937397281873,1.6,4003,0.0159043019955368,1.00081983719905
"v[148]",0.435500370146001,0.680457340873743,0.986741364224206,0.691499818594899,0.141882062946954,NA,0.0023606103391828,1.7,3612,0.0494753051660487,1.00004386686733
"v[149]",0.243541577223616,0.457518779296232,0.727304073530517,0.469193936463267,0.127093280420157,NA,0.00180602477738677,1.4,4952,0.0203997470591553,1.00011754521267
"v[150]",0.929369194331095,1.32164630000216,1.78171721038958,1.33805456932829,0.22207969618556,NA,0.00405385175378245,1.8,3001,0.0493165653830306,1.00030503174689
"v[151]",0.318120153796778,0.81092787483621,1.45157919191979,0.844198190027474,0.299543044507101,NA,0.0044777285666941,1.5,4475,0.0131142326231958,1.00175876125191
"v[152]",0.683201895139777,1.17339662828426,1.7731435355751,1.19793127812515,0.279537464064674,NA,0.00465941622118582,1.7,3599,0.011588117117456,1.00056731456875
