"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"ll.e[82]",-7.91603538407645,-6.27817624795456,-5.98278119115813,-6.53103222425139,0.666177550252003,NA,0.00770435269850673,1.2,7477,0.00299758384136573,1.00272823611005
"ll.e[83]",7.89527919677913,9.46806691687641,9.70635284290809,9.21518027566579,0.650794226077063,NA,0.00752777802594152,1.2,7474,0.00290660312743766,1.00583422299531
"ll.e[84]",40.3703062933507,42.0536011997524,42.3342684848089,41.7887584676818,0.691597440529588,NA,0.00778840186929556,1.1,7885,-0.0173294784476096,1.00038811495555
"ll.e[85]",32.3438333621921,33.9524991212573,34.2063929744407,33.6870197751521,0.687129465759064,NA,0.00794918478701395,1.2,7472,0.00601148301689077,1.00473128775775
"ll.e[86]",-1.92592420631208,-0.610960931678094,-0.429451424331484,-0.820637758407079,0.542550187936092,NA,0.00658734904768185,1.2,6784,-0.00948083931758842,1.00032464499381
"ll.e[87]",1.902398710536,3.49260266187883,3.71535019491462,3.23729818061453,0.664612400827057,NA,0.00740763931649073,1.1,8050,0.00716841782975837,1.00000532573015
"ll.e[88]",0.286450301415957,1.60601790358861,1.78854947751709,1.39592856796932,0.546233836470791,NA,0.00614645428207574,1.1,7898,0.00410215020990288,1.00010742813913
"ll.e[89]",-7.17955769227942,-5.53930713900454,-5.2250286327533,-5.7915550327829,0.667113820677673,NA,0.00788333141453322,1.2,7161,-0.00333346809220293,1.00042131847559
"ll.e[90]",-5.0218721010714,-3.17614962285367,-2.87730210736058,-3.46385511079365,0.762121163697627,NA,0.00961332122420533,1.3,6285,-0.0196380566617925,1.00007162351757
"ll.e[91]",-7.50809013778189,-5.88235172627485,-5.64042107471869,-6.14472529385949,0.692025277057486,NA,0.00821993845355095,1.2,7088,0.0104038787227388,0.999949309324749
"ll.e[92]",-9.99850436074557,-8.17859410035094,-7.87705282737078,-8.46932581628147,0.761218937973086,NA,0.00925712520530858,1.2,6762,0.00363963829233778,0.999922264822404
"ll.e[93]",6.50257208191515,8.07638232713218,8.32732725693418,7.83057109392162,0.644178665497217,NA,0.00761583073055196,1.2,7154,-0.00441702688473411,1.00003445864102
"ll.e[94]",-3.5406220411607,-1.95482827545988,-1.67129554434473,-2.20408248850278,0.663306442382654,NA,0.00771517865902812,1.2,7392,-0.0068052183460056,1.00066714925698
"ll.e[95]",4.51472349345229,6.02094902640727,6.2660749260587,5.77960722261643,0.649286796422578,NA,0.00740372094390518,1.1,7691,0.00494436693910789,1.00083873627337
"ll.e[96]",-9.33293858567048,-7.40522534512198,-7.08852163222903,-7.71593217253198,0.817836605123042,NA,0.0105645661526341,1.3,5993,0.0084287984996307,1.00349802921488
"ll.e[97]",23.4927212047524,25.0859538903472,25.4024318058959,24.8278745416693,0.670128015534853,NA,0.00748679111591425,1.1,8012,0.00781400562987115,1.00012479942277
"ll.e[98]",32.177080576979,34.1153484706125,34.4179301281309,33.8125211839094,0.796258232873699,NA,0.00873910037706547,1.1,8302,-0.00698360780773682,1.00109114978987
"ll.e[99]",0.379780003943916,1.92193339323901,2.18407829141862,1.67435762920762,0.65022006052806,NA,0.00755572755523185,1.2,7406,0.0209562049350155,1.00212247379747
"ll.e[100]",9.89746900745596,11.4858364380747,11.8158969065589,11.2374028614115,0.660703348846513,NA,0.00772521436377711,1.2,7315,0.0108842954591881,1.00097065899922
"ll.e[101]",-6.10008822440602,-4.52632253318395,-4.30343216232687,-4.78501019267119,0.687509614275387,NA,0.00861062954550258,1.3,6375,-0.0111058050988314,0.999934554718203
